second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
0,0.02264,0.034752,0.057392,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
1,0.0586,0.049968,0.108568,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
2,0.067232,0.02836,0.095592,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
3,0.092456,0.034552,0.127008,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
4,0.0028,0.003664,0.006464,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
5,0.0,0.0,0.0,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
6,0.013824,0.020736,0.03456,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
7,0.138712,0.031368,0.17008,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
8,17.053544,0.7222,17.775744,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
9,20.799064,2.13596,22.935024000000002,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
10,21.469392,1.836224,23.305616,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
11,21.440136,1.622416,23.062552,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
12,20.83352,1.664552,22.498072,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
13,21.47024,1.679,23.14924,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
14,21.42584,1.70852,23.13436,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
15,21.459288,1.730616,23.189904000000002,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
16,20.830128,1.072536,21.902663999999998,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
17,21.451224,0.437784,21.889008,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
18,21.484912,0.43772,21.922632,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
19,21.457696,0.560896,22.018591999999998,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
20,21.350728,0.872088,22.222816,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
21,20.996488,0.927184,21.923672,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
22,21.522824,0.950104,22.472928,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
23,21.523616,0.972328,22.495944,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
24,21.55364,0.9928,22.54644,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
25,20.823112,0.9928,21.815911999999997,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
26,21.553984,0.903112,22.457096,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
27,21.580264,0.916024,22.496288,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
28,21.55888,1.071344,22.630224,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
29,20.772328,1.078288,21.850616000000002,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
30,21.614,1.081288,22.695288,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
31,21.630768,1.116936,22.747704,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
32,21.553288,1.136368,22.689656,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
33,21.29732,1.14752,22.44484,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
34,21.325944,1.169776,22.49572,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
35,21.663096,1.178976,22.842071999999998,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
36,21.599656,1.2032,22.802856,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
37,21.51712,1.224872,22.741992,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
38,20.942616,1.248584,22.191200000000002,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
39,21.654072,1.257056,22.911127999999998,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
40,21.622232,1.268816,22.891048,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
41,21.654536,0.72252,22.377056,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
42,21.02712,0.432384,21.459504,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
43,21.687848,0.434752,22.1226,gate_3pct,3% formal,dynamic,1780863345.662489,20260607_201544
