second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
0,0.024248,0.020544,0.044792,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
1,0.034432,0.03108,0.065512,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
2,0.033664,0.027608,0.061272,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
3,0.127936,0.025288,0.153224,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
4,0.015104,0.009688,0.024792,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
5,0.013824,0.020736,0.03456,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
6,0.020736,0.020736,0.041472,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
7,0.008536,0.008536,0.017072,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
8,0.122064,0.033024,0.155088,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
9,14.298792,0.66256,14.961352000000002,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
10,21.137296,1.675264,22.812559999999998,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
11,21.312872,1.65884,22.971712,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
12,21.332544,1.68528,23.017823999999997,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
13,21.32456,1.693696,23.018256,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
14,21.318392,1.70124,23.019631999999998,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
15,21.3488,1.718808,23.067608,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
16,20.758656,1.73764,22.496295999999997,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
17,21.398336,1.732256,23.130592,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
18,21.382856,1.745192,23.128048,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
19,21.419648,1.755128,23.174775999999998,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
20,21.420624,1.756928,23.177552,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
21,20.609112,1.7786,22.387712,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
22,21.429136,1.79092,23.220056,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
23,21.461856,1.789136,23.250992,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
24,21.451632,1.810224,23.261856,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
25,21.153328,1.749112,22.90244,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
26,20.281512,0.437184,20.718695999999998,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
27,21.371696,0.454584,21.82628,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
28,21.507528,0.487328,21.994856000000002,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
29,21.474248,0.717664,22.191912,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
30,21.024,0.952704,21.976704,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
31,21.375688,0.989568,22.365256,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
32,21.551584,0.906976,22.45856,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
33,21.54112,0.89168,22.4328,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
34,21.598824,0.99788,22.596704,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
35,20.947736,1.075216,22.022952,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
36,21.596488,1.086368,22.682856,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
37,21.61312,1.102992,22.716112,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
38,21.61576,1.10744,22.723200000000002,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
39,19.531584,1.08916,20.620744,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
40,21.650984,1.144384,22.795368,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
41,21.624544,1.173656,22.7982,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
42,21.629568,1.2026,22.832168,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
43,21.172288,1.209192,22.381480000000003,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
44,21.408864,1.228416,22.63728,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
45,21.674968,1.257912,22.93288,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
46,21.68032,1.268576,22.948895999999998,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
47,21.163184,1.265016,22.4282,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
48,21.534776,1.304048,22.838824000000002,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
49,21.701264,1.285776,22.987039999999997,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
50,21.708616,1.335408,23.044024,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
51,21.160232,1.363656,22.523888,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
52,21.553216,1.396792,22.950008,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
53,21.721512,1.40388,23.125392,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
54,21.749464,1.3656,23.115064,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
55,21.190208,1.45012,22.640327999999997,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
56,20.949088,1.392096,22.341184,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
57,21.719064,1.473144,23.192208,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
58,21.78676,1.4464,23.23316,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
59,21.16464,1.335984,22.500624,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
60,21.599672,1.54488,23.144552,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
61,21.754256,1.561544,23.315800000000003,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
62,21.769024,1.587528,23.356552,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
63,21.174824,1.604952,22.779776000000002,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
64,21.594216,1.634592,23.228808,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
65,20.76284,1.560344,22.323184,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
66,21.732984,1.683712,23.416695999999998,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
67,21.079312,1.705608,22.784920000000003,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
68,21.789096,1.724208,23.513304,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
69,21.449784,1.74032,23.190104,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
70,21.62944,1.770216,23.399656,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
71,21.22184,1.75376,22.9756,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
72,21.78096,1.73628,23.51724,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
73,21.74156,1.769232,23.510792,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
74,21.389912,1.736576,23.126488,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
75,21.443472,1.828504,23.271976,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
76,21.789896,1.856712,23.646608,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
77,21.73536,1.790808,23.526168,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
78,20.9736,1.962248,22.935848,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
79,21.617216,1.967968,23.585183999999998,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
80,21.670896,2.002504,23.6734,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
81,21.65712,2.010272,23.667392,gate_3pct,3% formal,baseline,1780863114.11523,20260607_201152
