second,pathA_quic_mbps,pathB_quic_mbps,total_quic_mbps,session_key,session_label,role,global_t0,run_id
63,20.471392,2.925536,23.396928000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
64,18.917936,2.59152,21.509456,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
65,20.63872,2.960752,23.599472,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
66,20.605184,2.765208,23.370392000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
67,20.678856,2.709784,23.38864,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
68,20.618208,2.851896,23.470104,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
69,20.69768,2.893528,23.591207999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
70,20.736136,3.022656,23.758792,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
71,20.656968,3.056984,23.713952,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
72,20.74512,3.068936,23.814056,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
73,20.696056,3.099584,23.79564,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
74,20.73476,3.068904,23.803664,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
75,20.693384,0.459632,21.153015999999997,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
76,20.76588,0.456552,21.222431999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
77,20.747376,0.445952,21.193327999999998,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
78,20.81292,0.44788,21.2608,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
79,20.773816,0.447264,21.22108,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
80,20.852264,0.445416,21.297680000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
81,20.835768,0.44788,21.283648000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
82,20.917736,0.446032,21.363768,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
83,20.898368,0.445416,21.343784000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
84,20.94664,0.445416,21.392056,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
85,20.933648,0.445416,21.379064000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
86,21.04672,0.445416,21.492136000000002,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
87,20.932832,0.445416,21.378248000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
88,21.10268,0.444184,21.546864,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
89,21.04632,0.445416,21.491736000000003,gate_1pct,1% debug,dynamic,1780864826.796854,20260607_204025
