method,window,t_lo,t_hi,total_quic_wire_mbps,path_a_quic_wire_mbps,path_b_quic_wire_mbps,path_b_share_pct
baseline,0-50,0.0,50.0,17.69191152,16.400181279999998,1.29173024,7.301247457290018
baseline,50-90,50.0,90.0,22.729861,21.889969,0.8398920000000001,3.6951039867775703
baseline,90-100,90.0,100.0,22.8055848,22.450484799999998,0.3551,1.5570747389911266
baseline,100-110,100.0,110.0,23.067668,22.7138504,0.35381760000000007,1.533824745526943
baseline,100-150,100.0,150.0,23.511893920000002,23.153290079999998,0.35860384,1.5252018455857341
baseline,150-200,150.0,200.0,24.719649279999995,24.375284479999994,0.3443648,1.3930812532951928
baseline,0-200,0.0,200.0,22.16711512,21.482707,0.6844081200000001,3.0874929655708856
qaccess_t_dynamic,0-50,0.0,50.0,18.34614416,16.95666896,1.3894752,7.573663369709398
qaccess_t_dynamic,50-90,50.0,90.0,21.414640600000002,20.969916599999998,0.444724,2.07672875910885
qaccess_t_dynamic,90-100,90.0,100.0,22.1562016,21.7144224,0.44177920000000004,1.9939302231299434
qaccess_t_dynamic,100-110,100.0,110.0,22.3831192,21.9430032,0.440116,1.9662853781344292
qaccess_t_dynamic,100-150,100.0,150.0,22.865543520000003,22.429545280000003,0.43599824,1.9067914988272272
qaccess_t_dynamic,150-200,150.0,200.0,24.006814400000003,23.580735360000002,0.4260790400000001,1.7748254012410745
qaccess_t_dynamic,0-200,0.0,200.0,21.69536372,21.021441839999998,0.6739218800000001,3.106294453956267
