window,baseline_mbps,dynamic_mbps,improvement_pct
0-50,17.69191152,18.34614416,3.69791946596848
50-90,22.729861,21.414640600000002,-5.786310791781778
90-100,22.8055848,22.1562016,-2.847474448451763
100-110,23.067668,22.3831192,-2.9675682864865305
100-150,23.511893920000002,22.865543520000003,-2.749035880304785
150-200,24.719649279999995,24.006814400000003,-2.8836771587076178
0-200,22.16711512,21.69536372,-2.1281587497796095
