elapsed_s,throughput_mbps,bytes,packets
212.000,8.442048,1055256,1656
213.000,8.880136,1110017,1694
214.000,8.218456,1027307,1636
215.000,9.069936,1133742,1707
216.000,8.655608,1081951,1676
217.000,8.717720,1089715,1673
218.000,8.768752,1096094,1686
219.000,8.914536,1114317,1690
220.000,8.944312,1118039,1699
221.000,8.842960,1105370,1695
222.000,9.109760,1138720,1717
223.000,7.680456,960057,1591
224.000,8.240736,1030092,1638
225.000,7.211608,901451,1536
226.000,8.152064,1019008,1632
227.000,7.624136,953017,1578
228.000,7.703008,962876,1595
229.000,8.216792,1027099,1628
230.000,7.361080,920135,1555
231.000,8.544056,1068007,1666
232.000,7.514192,939274,1569
233.000,8.759576,1094947,1684
234.000,7.692616,961577,1583
235.000,8.543792,1067974,1668
236.000,7.986712,998339,1615
237.000,8.248408,1031051,1641
238.000,5.808016,726002,1112
