elapsed_s,throughput_mbps,bytes,packets
220.000,7.886432,985804,1185
221.000,7.652200,956525,1156
222.000,7.916056,989507,1177
223.000,6.550416,818802,1058
224.000,7.034088,879261,1099
225.000,6.006912,750864,997
226.000,6.888784,861098,1085
227.000,6.406520,800815,1036
228.000,6.425616,803202,1046
229.000,6.857240,857155,1078
230.000,6.121304,765163,1013
231.000,7.161024,895128,1111
232.000,6.085816,760727,1007
233.000,7.477952,934744,1135
234.000,6.267296,783412,1024
235.000,7.067200,883400,1100
236.000,6.684296,835537,1067
237.000,6.822464,852808,1081
238.000,4.821344,602668,739
