timestamp_ms,run_id,path_id,bw_bps,owd_ms,delay_gradient_ms,loss_rate,lost_bytes_delta,retrans_bytes_delta,cwnd_bytes,inflight_bytes,cwnd_room,alpha,beta,gamma,utility,gain,backoff,next_bw_bps,next_goodput_bps,active,g_total,g_total_used,throughput_reward_term,loss_penalty_term,delay_penalty_term,legacy_gain_raw,legacy_gain,legacy_retention,candidate_a_gain,candidate_a_retention,candidate_b_gain,candidate_b_retention,candidate_c_gain,candidate_c_retention
1781479550405,20260614_232546,0,0,0.0,0.0,0.0,0,0,46720,1069,45651,0.6,0.3,0.1,0.0,1.0,1.0,0,,True,0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9790002388643023,1.0139998407571318
1781479550743,20260614_232546,0,8855936,168.8177,168.8177,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4514,1.0712,0.9765,8855936,,True,0.5903957333333333,0.5903957333333333,0.14578603412197572,-0.0,-0.025000000000000005,1.1207860341219757,1.1207860341219757,0.9566855863512097,1.1,0.9566855863512097,1.1257860341219756,0.9566855863512097,1.0219358102365927,0.9856427931756049
1781479550743,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.5903957333333333,0.5903957333333333,0.14578603412197572,-0.0,-0.0175,1.1282860341219756,1.1282860341219756,0.9521855863512096,1.1,0.9521855863512096,1.1282860341219756,0.9521855863512096,1.0227358102365927,0.9848427931756049
1781479550744,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.29519786666666664,0.29519786666666664,0.09618291265207703,-0.0,-0.0175,1.078682912652077,1.078682912652077,0.9720268349391692,1.078682912652077,0.9720268349391692,1.078682912652077,0.9720268349391692,1.007854873795623,0.9947634174695846
1781479550769,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.29519786666666664,0.29519786666666664,0.09618291265207703,-0.0,-0.0175,1.078682912652077,1.078682912652077,0.9720268349391692,1.078682912652077,0.9720268349391692,1.078682912652077,0.9720268349391692,1.007854873795623,0.9947634174695846
1781479550770,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.29519786666666664,0.29519786666666664,0.09618291265207703,-0.0,-0.0175,1.078682912652077,1.078682912652077,0.9720268349391692,1.078682912652077,0.9720268349391692,1.078682912652077,0.9720268349391692,1.007854873795623,0.9947634174695846
1781479550910,20260614_232546,0,9459456,158.047,-10.7707,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.009019136417908,0.9939872423880614
1781479550911,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.009019136417908,0.9939872423880614
1781479550912,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.009019136417908,0.9939872423880614
1781479550913,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.009019136417908,0.9939872423880614
1781479550937,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.009019136417908,0.9939872423880614
1781479551079,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.0825637880596934,0.9704744847761225,1.009019136417908,0.9939872423880614
