time_s,tp_mbps
0.0,0.05568
1.0,0.0616
2.0,0.196152
3.0,0.015264
4.0,0.003216
6.0,0.271992
7.0,18.423888
8.0,25.30176
9.0,25.122544
10.0,23.77164
11.0,24.217984
12.0,24.497048
13.0,23.779952
14.0,24.93996
15.0,24.925912
16.0,24.937512
17.0,24.682552
18.0,24.373864
19.0,25.272952
20.0,25.077104
21.0,25.3242
22.0,25.177384
23.0,25.253968
24.0,24.191856
25.0,25.167408
26.0,25.16332
27.0,25.200208
28.0,25.182128
29.0,25.086544
30.0,24.370248
31.0,25.263928
32.0,25.215912
33.0,25.27784
34.0,25.180304
35.0,24.392616
36.0,25.396752
37.0,25.344568
38.0,25.4224
39.0,25.24128
40.0,24.483048
41.0,25.530976
42.0,25.426688
43.0,25.432784
44.0,25.3054
45.0,24.617704
46.0,25.554264
47.0,25.522928
48.0,25.4276
49.0,24.622952
50.0,25.616168
51.0,25.621072
52.0,25.53272
53.0,25.364128
54.0,23.572344
55.0,23.131512
56.0,23.15288
57.0,22.926904
58.0,22.266792
59.0,23.183128
60.0,23.203464
61.0,23.12328
62.0,22.28972
63.0,23.27784
64.0,23.357928
65.0,23.245504
66.0,22.610464
67.0,23.094184
68.0,23.483352
69.0,23.369488
70.0,23.339864
71.0,22.59664
72.0,23.606808
73.0,23.500344
74.0,23.427088
75.0,22.608208
76.0,23.718856
77.0,23.639312
78.0,23.49212
79.0,22.78076
80.0,23.841368
81.0,23.698768
82.0,23.626688
83.0,22.848128
84.0,23.948392
85.0,23.79292
86.0,23.726992
87.0,22.94232
88.0,24.066936
89.0,23.87652
90.0,23.828216
91.0,23.092032
92.0,24.130528
93.0,24.00764
94.0,23.934472
95.0,23.210296
96.0,24.174824
97.0,24.125888
98.0,24.020264
99.0,23.34224
100.0,24.262928
101.0,24.019784
102.0,22.562688
103.0,24.220336
104.0,24.342976
105.0,24.17156
106.0,23.484888
107.0,24.53452
108.0,24.290448
109.0,24.319208
110.0,23.542088
111.0,24.637992
112.0,24.45752
113.0,24.385976
114.0,23.704064
115.0,24.712856
116.0,24.47412
117.0,24.033128
118.0,24.331608
119.0,24.6926
120.0,24.52624
121.0,23.667496
122.0,24.938616
123.0,24.717592
124.0,24.670504
125.0,23.934984
126.0,24.965496
127.0,24.743936
128.0,24.284888
129.0,24.714736
130.0,24.813136
131.0,24.89532
132.0,24.048856
133.0,25.144968
134.0,24.924648
135.0,24.887664
136.0,24.435904
137.0,25.053936
138.0,24.980304
139.0,24.23184
140.0,25.292216
141.0,25.09224
142.0,25.096344
143.0,24.546528
144.0,25.197136
145.0,25.209136
146.0,24.33636
147.0,25.43896
148.0,25.309544
149.0,24.886312
150.0,25.017472
151.0,25.371264
152.0,25.311992
153.0,24.42688
154.0,25.608008
155.0,25.373
156.0,24.533392
157.0,25.713832
158.0,25.522584
159.0,25.268304
160.0,25.119456
161.0,25.61132
162.0,25.671952
163.0,24.758984
164.0,25.867248
165.0,25.619808
166.0,24.79304
167.0,26.028144
168.0,25.745144
169.0,24.825504
170.0,26.001024
171.0,26.056328
172.0,25.542832
173.0,25.351016
174.0,26.035112
175.0,25.951392
176.0,25.057248
177.0,26.195912
178.0,25.90056
179.0,25.060136
180.0,26.208264
181.0,26.479776
182.0,26.774072
183.0,26.800752
184.0,26.63964
185.0,26.788008
186.0,26.881312
187.0,26.826832
188.0,26.888376
189.0,26.512888
190.0,26.475352
191.0,26.598592
192.0,26.987408
193.0,26.97732
194.0,27.02076
195.0,27.015728
196.0,27.138568
197.0,27.190048
198.0,27.129248
199.0,27.098688
200.0,27.19188
201.0,27.03492
202.0,27.225672
203.0,26.855032
204.0,26.431912
205.0,26.963056
206.0,27.398616
