method,time_s,total_mbps,pathA_mbps,pathB_mbps,path_b_share_pct
baseline,85.0,23.34504,22.905168,0.439872,1.8842203740066412
baseline,86.0,22.92128,22.485104,0.436176,1.9029303773611248
baseline,87.0,23.907304,23.466816,0.440488,1.8424829499804747
baseline,88.0,23.756128,23.317488,0.43864,1.8464288456435323
baseline,89.0,23.208952,22.770312,0.43864,1.8899603911456235
baseline,90.0,23.293960000000002,22.857192,0.436768,1.875026830989664
baseline,91.0,24.020352000000003,23.58048,0.439872,1.8312471024571162
baseline,92.0,23.718664,23.281872,0.436792,1.8415539762273287
baseline,93.0,23.111335999999998,22.673312,0.438024,1.8952777113361168
baseline,94.0,23.666616,23.229208,0.437408,1.8482067736257688
baseline,95.0,23.918624,23.484912,0.433712,1.81328156669882
baseline,96.0,23.905687999999998,23.467048,0.43864,1.834877122130934
baseline,97.0,22.8248,22.38924,0.43556,1.908275209421331
baseline,98.0,24.147104,23.710928,0.436176,1.8063284110591482
baseline,99.0,24.145719999999997,23.707696,0.438024,1.8140854776747186
baseline,100.0,23.913208,23.47888,0.434328,1.8162682313472955
baseline,101.0,23.03848,22.601072,0.437408,1.89859747691688
baseline,102.0,24.305072,23.868896,0.436176,1.7945883887939111
baseline,103.0,24.196336000000002,23.762008,0.434328,1.795015575911989
baseline,104.0,23.829712,23.394768,0.434944,1.8252171910428459
baseline,105.0,23.393752,22.9576,0.436152,1.86439524536295
baseline,106.0,24.414048,23.977872,0.436176,1.78657795708438
baseline,107.0,24.163232,23.728904,0.434328,1.7974747748976627
baseline,108.0,23.414056,22.978496,0.43556,1.8602500993420363
baseline,109.0,24.167848,23.73352,0.434328,1.7971314616013805
baseline,110.0,24.401184,23.96624,0.434944,1.7824708833800849
baseline,111.0,24.222151999999998,23.786592,0.43556,1.7981886993360459
baseline,112.0,23.336759999999998,22.9012,0.43556,1.8664116184080397
baseline,113.0,24.55688,24.119168,0.437712,1.7824414176393744
baseline,114.0,24.432264,23.983704,0.44856,1.8359330105470373
baseline,115.0,24.112144,23.678336,0.433808,1.7991266143732385
baseline,116.0,23.600848,23.167752,0.433096,1.8350866036678004
baseline,117.0,24.718168,24.287536,0.430632,1.742167947074395
baseline,118.0,24.397968,23.964872,0.433096,1.7751314371754239
baseline,119.0,23.374232,22.941136,0.433096,1.852877989745289
baseline,120.0,24.6894,24.256304,0.433096,1.75417790630797
baseline,121.0,24.654616,24.222752,0.431864,1.7516557548493152
baseline,122.0,24.612952,24.180472,0.43248,1.7571236477444883
baseline,123.0,23.35488,22.92304,0.43184,1.8490354050202784
baseline,124.0,24.909112,24.476016,0.433096,1.7387050971548084
baseline,125.0,24.594336,24.163704,0.430632,1.7509397285618935
baseline,126.0,23.95216,23.521528,0.430632,1.7978837816714652
baseline,127.0,24.431776000000003,23.997672,0.434104,1.7768008351091626
baseline,128.0,24.832456,24.401824,0.430632,1.734149856139884
baseline,129.0,24.755624,24.32376,0.431864,1.7445086417534859
baseline,130.0,23.55312,23.12372,0.4294,1.8231130313096522
baseline,131.0,25.074616,24.643984,0.430632,1.7174021727790372
baseline,132.0,24.770536,24.339288,0.431248,1.7409716124027352
baseline,133.0,24.06432,23.634304,0.430016,1.7869443225489026
baseline,134.0,24.65632,24.225712,0.430608,1.746440669167175
baseline,135.0,24.976168,24.546768,0.4294,1.719238916073915
baseline,136.0,24.972816,24.544032,0.428784,1.7170030003824956
baseline,137.0,23.69464,23.266472,0.428168,1.8070247110738968
baseline,138.0,25.222448,24.792512,0.429936,1.7045768118939129
baseline,139.0,24.945616,24.517448,0.428168,1.7164058005222238
baseline,140.0,23.843216,23.414432,0.428784,1.7983480080874994
baseline,141.0,25.197552,24.768152,0.4294,1.7041337983943836
baseline,142.0,25.117776,24.691456,0.42632,1.6972840270571725
baseline,143.0,24.938816,24.511264,0.427552,1.7144037631938902
baseline,144.0,24.06456,23.635184,0.429376,1.7842669884676885
baseline,145.0,25.392424,24.964256,0.428168,1.6862037275370008
baseline,146.0,25.083184,24.656864,0.42632,1.6996247366363058
baseline,147.0,23.929792,23.50224,0.427552,1.7866933402513485
baseline,148.0,25.475992,25.046592,0.4294,1.685508458316363
baseline,149.0,25.237959999999998,24.812872,0.425088,1.68431996880889
baseline,150.0,24.073919999999998,23.646368,0.427552,1.7759965971474525
baseline,151.0,25.349792,24.921008,0.428784,1.691469500025878
baseline,152.0,25.327496,24.901776,0.42572,1.6808609899691622
baseline,153.0,25.015136,24.590072,0.425064,1.6992272198720009
baseline,154.0,24.4768,24.045552,0.431248,1.7618642959864035
baseline,155.0,25.559744,25.13712,0.422624,1.653475089578362
baseline,156.0,25.374424,24.950568,0.423856,1.6704063903086035
baseline,157.0,24.061456000000003,23.636984,0.424472,1.7641160202441613
baseline,158.0,25.804808,25.36156,0.443248,1.717695400020027
baseline,159.0,25.422327999999997,24.999632,0.422696,1.6626958789926716
baseline,160.0,24.146552,23.72516,0.421392,1.7451435716370602
baseline,161.0,25.807496,25.369008,0.438488,1.6990722385465058
baseline,162.0,25.574192,25.143584,0.430608,1.6837599404900063
baseline,163.0,24.079736,23.643688,0.436048,1.810850417961393
baseline,164.0,25.907871999999998,25.4702,0.437672,1.6893398269066637
baseline,165.0,25.762904000000002,25.324784,0.43812,1.700584685639476
baseline,166.0,24.152784,23.711448,0.441336,1.8272676143669402
baseline,167.0,25.88284,25.444552,0.438288,1.6933535887097395
baseline,168.0,25.90416,25.466712,0.437448,1.6887171790168065
baseline,169.0,24.503031999999997,24.063048,0.439984,1.7956308427463183
baseline,170.0,25.581192,25.128872,0.45232,1.7681740553763092
baseline,171.0,25.980296,25.542064,0.438232,1.6867860166027364
