method,time_s,total_mbps,pathA_mbps,pathB_mbps,path_b_share_pct
qaccess_t,187.0,25.307768,24.362864,0.944904,3.733652054973793
qaccess_t,188.0,25.270039999999998,24.357712,0.912328,3.610314823403525
qaccess_t,189.0,25.47364,24.460576,1.013064,3.9769110343084066
qaccess_t,190.0,25.101048000000002,24.17124,0.929808,3.7042596787193895
qaccess_t,191.0,25.450816000000003,24.535952,0.914864,3.5946352368427004
qaccess_t,192.0,25.292072,24.317312,0.97476,3.8540140167242916
qaccess_t,193.0,25.393744,24.389296,1.004448,3.955493920077323
qaccess_t,194.0,25.490384000000002,24.50636,0.984024,3.860373386293435
qaccess_t,195.0,25.765456,24.637896,1.12756,4.37624701848863
qaccess_t,196.0,25.51204,24.50636,1.00568,3.9419819034463726
qaccess_t,197.0,25.548256000000002,24.491896,1.05636,4.13476364100939
qaccess_t,198.0,25.777184000000002,24.661376,1.115808,4.32866522580589
qaccess_t,199.0,25.579576,24.508336,1.07124,4.187872386938705
qaccess_t,200.0,25.774183999999998,24.676592,1.097592,4.258493692758615
qaccess_t,201.0,25.769952,24.59264,1.177312,4.568545568109712
qaccess_t,202.0,25.745376,24.657872,1.087504,4.224075033901233
qaccess_t,203.0,25.717208,24.569224,1.147984,4.463874927636001
qaccess_t,204.0,25.607952,24.448808,1.159144,4.52650020587355
qaccess_t,205.0,25.805808,24.613896,1.191912,4.618774192228354
qaccess_t,206.0,26.048792,24.839472,1.20932,4.642518547501166
qaccess_t,207.0,25.962191999999998,24.726352,1.23584,4.760152763680355
qaccess_t,208.0,25.960312,24.776864,1.183448,4.558681729248863
qaccess_t,209.0,25.982056,24.797904,1.184152,4.55757619797294
qaccess_t,210.0,26.017647999999998,24.725032,1.292616,4.968227719892282
qaccess_t,211.0,25.942288,24.718176,1.224112,4.718596910187721
qaccess_t,212.0,26.172792,24.8674,1.305392,4.987591694458887
qaccess_t,213.0,25.939376000000003,24.658992,1.280384,4.936063226810082
qaccess_t,214.0,26.231728,24.852968,1.37876,5.256077678146099
qaccess_t,215.0,25.871256,24.587792,1.283464,4.960965173086301
qaccess_t,216.0,26.238183999999997,24.95716,1.281024,4.882289109642649
qaccess_t,217.0,26.298504,24.920976,1.377528,5.238047000696314
qaccess_t,218.0,26.15888,24.803008,1.355872,5.183218853406568
qaccess_t,219.0,26.347640000000002,24.914408,1.433232,5.439697824928532
qaccess_t,220.0,26.405848000000002,25.007712,1.398136,5.294796819250039
qaccess_t,221.0,26.148152,24.714944,1.433208,5.481106274737886
qaccess_t,222.0,26.299792,24.866416,1.433376,5.450141963099936
qaccess_t,223.0,26.233696,24.840888,1.392808,5.3092328278867
qaccess_t,224.0,26.13336,24.71804,1.41532,5.415759779836959
qaccess_t,225.0,21.80388,20.767576,1.036304,4.752842154699072
