method,window,t_lo,t_hi,total_mbps_mean,pathA_mbps_mean,pathB_mbps_mean,path_b_share_pct_mean
baseline,0-50,0.0,50.0,17.41212496,16.9709968,0.44112816,9.586539244877473
baseline,50-100,50.0,100.0,23.14105056,22.7019024,0.43914816,1.898673117275899
baseline,100-200,100.0,200.0,24.96355088,24.52574528,0.4378056,1.7552492785064244
baseline,0-200,0.0,200.0,22.62006932,22.18109744,0.43897188,3.7195929985599676
qaccess_t,0-50,0.0,50.0,19.96955088,18.0515576,1.91799328,14.221908911872243
qaccess_t,50-100,50.0,100.0,25.1723912,22.36333296,2.80905824,11.153799324721644
qaccess_t,100-200,100.0,200.0,24.70837392,23.414514,1.29385992,5.117791906317013
qaccess_t,0-200,0.0,200.0,23.63967248,21.81097964,1.82869284,8.876093937434792
