leg,mean_A,mean_B,mean_total,share_B,delta_vs_baseline_A,delta_vs_baseline_B,delta_vs_baseline_total
baseline,22.773601699115044,0.44902842477876104,23.222630123893808,1.9335812626871876,0.0,0.0,0.0
dynamic,22.87988442477876,1.1152984778761061,23.995182902654864,4.648009904324205,0.10628272566371422,0.6662700530973451,0.7725527787610567
