request_id,timestamp_ms,old_alpha,old_beta,old_gamma,applied_alpha,applied_beta,applied_gamma,pred_current_bps,pred_best_bps,predicted_delta_gain_bps,n_samples,delta_gamma,time_s,tpA_m5_0,tpB_m5_0,tpT_m5_0,shareB_m5_0,tpA_0_5,tpB_0_5,tpT_0_5,shareB_0_5,tpA_5_10,tpB_5_10,tpT_5_10,shareB_5_10,delta_tpA_0_5,delta_tpB_0_5,delta_tpT_0_5,pathA_compensation_ratio_0_5,gain_p0_m5_0,gain_p0_0_5,gain_p0_5_10,backoff_p0_m5_0,backoff_p0_0_5,backoff_p0_5_10,cwnd_bytes_p0_m5_0,cwnd_bytes_p0_0_5,cwnd_bytes_p0_5_10,bw_bps_p0_m5_0,bw_bps_p0_0_5,bw_bps_p0_5_10,alpha_p0_m5_0,alpha_p0_0_5,alpha_p0_5_10,beta_p0_m5_0,beta_p0_0_5,beta_p0_5_10,gamma_p0_m5_0,gamma_p0_0_5,gamma_p0_5_10,gain_p1_m5_0,gain_p1_0_5,gain_p1_5_10,backoff_p1_m5_0,backoff_p1_0_5,backoff_p1_5_10,cwnd_bytes_p1_m5_0,cwnd_bytes_p1_0_5,cwnd_bytes_p1_5_10,bw_bps_p1_m5_0,bw_bps_p1_0_5,bw_bps_p1_5_10,alpha_p1_m5_0,alpha_p1_0_5,alpha_p1_5_10,beta_p1_m5_0,beta_p1_0_5,beta_p1_5_10,gamma_p1_m5_0,gamma_p1_0_5,gamma_p1_5_10,gain_p3_m5_0,gain_p3_0_5,gain_p3_5_10,backoff_p3_m5_0,backoff_p3_0_5,backoff_p3_5_10,cwnd_bytes_p3_m5_0,cwnd_bytes_p3_0_5,cwnd_bytes_p3_5_10,bw_bps_p3_m5_0,bw_bps_p3_0_5,bw_bps_p3_5_10,alpha_p3_m5_0,alpha_p3_0_5,alpha_p3_5_10,beta_p3_m5_0,beta_p3_0_5,beta_p3_5_10,gamma_p3_m5_0,gamma_p3_0_5,gamma_p3_5_10
20260614_232546_1781479556319_1,1781479556319.0,0.6,0.3,0.10000000000000002,0.7,0.19999999999999998,0.1,26621676.978691794,27906523.007739954,1284846.0290481597,6000,-1.3877787807814457e-17,8.44690203666687,3.408432,0.1681568,3.5765888000000006,4.701597231417823,20.7319408,2.0128192,22.744760000000003,8.849595247432815,20.114129600000002,1.9951519999999998,22.1092816,9.024047167593178,17.3235088,1.8446624,19.168171200000003,,1.1786793478260869,1.182508571428572,1.1825000000000003,0.931673913043478,0.9304951020408165,0.9305000000000002,46720.0,46720.0,46720.0,16051570.782608695,10082520.81632653,4579776.0,0.6,0.5999999999999998,0.6,0.3,0.2999999999999999,0.3,0.09999999999999998,0.1,0.09999999999999999,1.1840123745819395,1.1842323886639678,1.1431647696476965,0.9292923076923075,0.929434008097166,0.9501658536585366,96394.18060200669,48055.87044534413,236520.0,35892172.41471572,16721295.546558704,27901386.753387533,0.6,0.5999999999999998,0.5999999999999999,0.3,0.2999999999999999,0.29999999999999993,0.09999999999999999,0.1,0.09999999999999999,1.188797667638484,1.1840854251012152,1.0325000000000004,0.9264865889212828,0.9295485829959514,1.0054999999999998,192307.1137026239,48209.554655870445,962140.0,107023206.99708454,16684639.870445345,127718847.6734694,0.6,0.5999999999999998,0.5999999999999999,0.3,0.2999999999999999,0.29999999999999993,0.09999999999999999,0.1,0.1
20260614_232546_1781479564123_1,1781479564123.0,0.6,0.3,0.10000000000000002,0.7,0.19999999999999998,0.2,4202191.486263154,5053527.869390792,851336.3831276381,2940,0.09999999999999999,16.25090193748474,20.100897600000003,1.9941424,22.09504,9.025294364708097,20.1528144,2.0484687999999998,22.2012832,9.226803611063346,20.214232000000003,2.2221952000000003,22.4364272,9.904407596589177,0.05191679999999721,0.054326399999999664,0.10624319999999798,,1.1825,1.1825000000000003,1.179058139534884,0.9305,0.9305000000000002,0.9325651162790697,46720.0,46720.0,46720.0,4579776.0,4579776.0,9889984.0,0.6,0.5999999999999999,0.6357342192691031,0.3,0.29999999999999993,0.26426578073089707,0.1,0.1,0.11966777408637873,1.1425,1.143168392370572,1.1790573770491803,0.9505,0.9501640326975477,0.9325655737704919,236520.0,236520.0,46720.0,27759872.0,27902157.950953677,13463680.0,0.6,0.6,0.6357377049180329,0.3,0.3,0.2642622950819673,0.1,0.09999999999999996,0.11967213114754098,1.0325,1.0325000000000002,1.179058139534884,1.0055,1.0054999999999996,0.9325651162790697,962140.0,962140.0,46720.0,125452544.0,127730469.74358974,9889984.0,0.6,0.5999999999999999,0.6357342192691031,0.3,0.29999999999999993,0.26426578073089707,0.1,0.1,0.11966777408637873
20260614_232546_1781479624113_2,1781479624113.0,0.636,0.264,0.12000000000000002,0.7,0.3,0.2,7888019.435771465,9699098.292403119,1811078.8566316534,3000,0.07999999999999999,76.24090194702148,21.0637936,0.442952,21.5067456,2.059595664720189,21.2960256,0.4446752,21.740700800000003,2.0453581698709544,21.3749936,0.44381440000000005,21.818807999999997,2.0340909549229274,0.23223199999999977,0.0017231999999999803,0.23395520000000403,,,1.1790000000000003,,,0.9326,,,46720.0,,,4295616.0,,,0.636,,,0.26400000000000007,,,0.12000000000000001,,,1.1748,,,0.9346999999999999,,,277400.0,,,31132385.191977076,,,0.6360000000000001,,,0.26400000000000007,,,0.12000000000000001,,,1.1456733009708737,,,0.9492633495145633,,,989880.0,,,123995157.74757281,,,0.6360000000000001,,,0.26400000000000007,,,0.12000000000000002,
20260614_232546_1781479630936_2,1781479630936.0,0.636,0.264,0.12000000000000002,0.7,0.2,0.22000000000000003,3199481.1582616605,4015252.491431397,815771.3331697364,2988,0.1,83.0639021396637,21.3770176,0.444552,21.821569599999997,2.037213675041964,21.441536,0.4427055999999999,21.8842416,2.022942389742215,21.538881600000003,0.44233599999999995,21.981217599999997,2.0123362047059667,0.06451840000000075,-0.0018464000000000813,0.06267200000000273,34.94280762564878,1.1790000000000003,1.1212996632996632,1.11820871559633,0.9326,0.9562070707070709,0.9579871559633025,46720.0,46720.0,46720.0,4295616.0,5244709.925925926,5236770.348623853,0.636,0.6488,0.6572220183486239,0.26400000000000007,0.27119999999999994,0.25947522935779826,0.12000000000000001,0.13600000000000004,0.14987155963302753,1.1748,1.121299662162162,1.118222831050228,0.9346999999999999,0.9562070945945946,0.9579794520547943,277400.0,46720.0,46720.0,31132385.191977076,5244703.567567567,5236790.063926941,0.6360000000000001,0.6488,0.6571835616438356,0.26400000000000007,0.27119999999999994,0.25952876712328776,0.12000000000000001,0.13600000000000004,0.14980821917808224,1.1456733009708737,1.1213,1.1182129032258061,0.9492633495145633,0.9562068027210886,0.9579847926267279,989880.0,46720.0,46720.0,123995157.74757281,7803200.0,7803200.0,0.6360000000000001,0.6488,0.6572138248847927,0.26400000000000007,0.27119999999999994,0.25948663594470056,0.12000000000000002,0.136,0.14985806451612904
