request_id,time_s,delta_gamma,gain_p3_m5,gain_p3_05,cwnd_p3_m5,cwnd_p3_05,tpB_m5,tpB_05,share_m5,share_05,tpA_05,tpT_05,pathB_gain_fell,pathB_cwnd_fell,pathB_tp_fell,pathB_share_fell,pathA_compensates
20260614_232546_1781479564123_1,16.25090193748474,0.09999999999999999,1.0325,1.0325000000000002,962140.0,962140.0,1.9941424,2.0484687999999998,9.025294364708097,9.226803611063346,20.1528144,22.2012832,False,False,False,False,True
20260614_232546_1781479624113_2,76.24090194702148,0.07999999999999999,,1.1456733009708737,,989880.0,0.442952,0.4446752,2.059595664720189,2.0453581698709544,21.2960256,21.740700800000003,False,False,False,True,True
20260614_232546_1781479630936_2,83.0639021396637,0.1,1.1456733009708737,1.1213,989880.0,46720.0,0.444552,0.4427055999999999,2.037213675041964,2.022942389742215,21.441536,21.8842416,True,True,True,True,True
