method,output_flv_mb,run_dir
baseline,,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260527_011113/fig7_baseline
qaccess_t_dynamic,,/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_qaccess_t_20260527_011113/fig7_qaccess_t
