window,baseline_quic_wire_mbps,dynamic_quic_wire_mbps,improvement_pct
0-50,19.532892479999997,18.56582608,-4.950963616833449
50-90,23.9659392,23.143688400000002,-3.430914153366454
90-100,24.2793,23.794024800000003,-1.9987198971963636
100-110,23.790232800000002,24.0149624,0.9446296801265427
100-150,24.114539999999998,24.483789119999997,1.5312302038521126
150-220,23.300955999999996,26.510033600000003,13.77230015798497
full,22.794859600000002,23.508504072727273,3.130725458503245
