leg,window,mean_inter_arrival_ms,median_inter_arrival_ms,p95_inter_arrival_ms,jitter_proxy_std_ms,packet_count,path_a_byte_share_pct,path_b_byte_share_pct,path_a_packet_share_pct,path_b_packet_share_pct
delay_baseline,0-50 normal,0.3948732145539345,0.3399848937988281,0.6020069122314453,5.971736774858414,126761,93.72319862175796,6.2768013782420375,80.47191170785968,19.52808829214033
delay_baseline,50-90 pre-stress,0.31730792060973273,0.3209114074707031,0.5998611450195312,0.2150865647365143,126218,85.82853563454155,14.171464365458439,76.05888225134292,23.941117748657085
delay_baseline,90-100 stress,0.3009481188112199,0.2930164337158203,0.5898475646972656,0.2132798033562513,33265,81.90442432983157,18.095575670168426,75.16308432286186,24.836915677138133
delay_baseline,100-150 recovery,0.33623591094967625,0.3600120544433594,0.6039142608642578,0.2137666894684863,148869,95.98999078982784,4.010009210172164,81.80749518032633,18.192504819673673
delay_baseline,150-200 stable,0.3110355823134766,0.30994415283203125,0.5910396575927734,0.2153940899527183,160910,98.7365558518177,1.2634441481823078,84.65166863464049,15.348331365359519
delay_baseline,0-200 full,0.33592532222755556,0.3299713134765625,0.598907470703125,2.760745421979912,596023,93.30365486994326,6.696345130056744,80.70309367255962,19.296906327440382
delay_qaccess_dynamic,0-50 normal,0.3707763990511357,0.30994415283203125,0.5900859832763672,5.9672889959686914,134962,90.55201138218115,9.447988617818845,75.06186926690475,24.938130733095242
delay_qaccess_dynamic,50-90 pre-stress,0.30394310165043287,0.2961158752441406,0.5891323089599609,0.2121107723706349,131729,88.3596189407179,11.640381059282117,74.22663194892544,25.773368051074552
delay_qaccess_dynamic,90-100 stress,0.3166070410458469,0.32019615173339844,0.5910396575927734,0.2098470126742664,31606,85.37046140405802,14.629538595941982,72.46092514079605,27.53907485920395
delay_qaccess_dynamic,100-150 recovery,0.30017687496602136,0.29087066650390625,0.5910396575927734,0.21313305435126698,166749,80.7425066042031,19.257493395796892,70.01121446005673,29.98878553994327
delay_qaccess_dynamic,150-200 stable,0.27888803806591006,0.2548694610595703,0.5860328674316406,0.21181394227676412,179471,75.43875282381029,24.561247176189717,68.23665104668721,31.763348953312793
delay_qaccess_dynamic,0-200 full,0.31061087114221625,0.28705596923828125,0.5891323089599609,2.7375577423673585,644517,83.09347470826052,16.906525291739488,71.55637477366771,28.443625226332276
