leg,window,path_a_byte_share_pct,path_b_byte_share_pct
delay_baseline,0-50 normal,93.72319862175796,6.2768013782420375
delay_baseline,50-90 pre-stress,85.82853563454155,14.171464365458439
delay_baseline,90-100 stress,81.90442432983157,18.095575670168426
delay_baseline,100-150 recovery,95.98999078982784,4.010009210172164
delay_baseline,150-200 stable,98.7365558518177,1.2634441481823078
delay_baseline,0-200 full,93.30365486994326,6.696345130056744
delay_qaccess_dynamic,0-50 normal,90.55201138218115,9.447988617818845
delay_qaccess_dynamic,50-90 pre-stress,88.3596189407179,11.640381059282117
delay_qaccess_dynamic,90-100 stress,85.37046140405802,14.629538595941982
delay_qaccess_dynamic,100-150 recovery,80.7425066042031,19.257493395796892
delay_qaccess_dynamic,150-200 stable,75.43875282381029,24.561247176189717
delay_qaccess_dynamic,0-200 full,83.09347470826052,16.906525291739488
