mode,n_rows,mean_bw_mbps,mean_owd_ms,mean_loss,mean_U,mean_gain,mean_backoff
D,190118,20.8677839552278,77.86962328659045,0.0,0.10340686258008183,1.0363270495166161,0.9865526620309494
L,205641,27.444261115244526,69.96476252303772,0.0,0.14508682412553922,1.0500770906579915,0.9810702145972836
T,192789,19.4632825005576,89.23351052186587,0.0,0.09177444771226574,1.0326172188247256,0.9884001058151658
