path_id,n,gain_clamped,retention_clamped,gain_at_min_frac,gain_at_max_frac,ret_at_min_frac,ret_at_max_frac,corr_gamma_gain,corr_gamma_retention,corr_gamma_ack_growth,corr_gain_next_bw,corr_retention_next_bw,corr_cwnd_gain,prop_ack_gain_applied,prop_retention_applied
0,3342,"{'mean': 1.1543095960551175, 'std': 0.03269354975793886, 'p5': 1.114956119331457, 'p50': 1.17326, 'p95': 1.18455905}","{'mean': 0.9428298220605622, 'std': 0.013559510739519035, 'p5': 0.9292645700000001, 'p50': 0.936044, 'p95': 0.9593655522674172}",0.0,0.0,0.0,0.0,-0.5850297000258481,0.6243697024128176,-0.5850297000258481,0.3211787511277442,-0.3500695233788707,,"{'mean': 1.032097122939528, 'std': 0.008608774085556662, 'p5': 1.0202015454608542, 'p50': 1.038969817669472, 'p95': 1.0389999999999997}","{'mean': 0.9786020856848232, 'std': 0.0057394918881605245, 'p5': 0.9740000000000003, 'p50': 0.9740201215536857, 'p95': 0.9865323030260977}"
1,3550,"{'mean': 1.1524692670040073, 'std': 0.028867854605842704, 'p5': 1.114956119331457, 'p50': 1.17121685, 'p95': 1.1850962999999999}","{'mean': 0.9439868827435238, 'std': 0.012114429391946038, 'p5': 0.92894222, 'p50': 0.937065575, 'p95': 0.9593655522674172}",0.0,0.00028169014084507044,0.0,0.0,-0.48593937735980847,0.49087465400572816,-0.48593937735980847,0.6834130045338607,-0.6467939874334064,0.43239381748262734,"{'mean': 1.0321293890070509, 'std': 0.00787793651822091, 'p5': 1.0211021381821066, 'p50': 1.0383325840781485, 'p95': 1.0389999993741177}","{'mean': 0.9786449999578914, 'std': 0.005242036531379709, 'p5': 0.9740000005101133, 'p50': 0.9745005475953417, 'p95': 0.985931907878596}"
3,3902,"{'mean': 1.1376039871543593, 'std': 0.04368604427025976, 'p5': 1.0325, 'p50': 1.145736, 'p95': 1.190045475}","{'mean': 0.9515978608468826, 'std': 0.021150724682020536, 'p5': 0.925972715, 'p50': 0.949232, 'p95': 1.0055}",0.0,0.0007688364941055869,0.0,0.0,0.03770657444784455,-0.07731175662095811,0.03770657444784455,-0.04748772667841291,0.13121623673905378,-0.1748301630669942,"{'mean': 1.0299969627677212, 'std': 0.008649193621173277, 'p5': 1.0149999989306835, 'p50': 1.033676236553331, 'p95': 1.0389999991996464}","{'mean': 0.9802960653214409, 'std': 0.006075411619486583, 'p5': 0.9740000006649239, 'p50': 0.977992411402122, 'p95': 0.9920000010255998}"
