timestamp_ms,run_id,path_id,bw_bps,owd_ms,delay_gradient_ms,loss_rate,lost_bytes_delta,retrans_bytes_delta,cwnd_bytes,inflight_bytes,cwnd_room,alpha,beta,gamma,utility,gain,backoff,next_bw_bps,next_goodput_bps,active,g_total,norm_g,norm_l,norm_d_current,norm_d_proposed,g_total_used,utility_recomputed,u_reward,u_loss_penalty,u_delay_penalty,gain_throughput_term,gain_loss_term,gain_delay_term,gain_raw,gain_clamped,retention_raw,retention_clamped,retention_throughput_term,retention_loss_term,retention_delay_term,gain_at_min,gain_at_max,ret_at_min,ret_at_max,prop_ack_gain_raw,prop_ack_gain_clamped,prop_retention_raw,prop_retention_clamped,cur_ack_growth_factor,prop_ack_growth_factor,cur_loss_retain_frac,prop_loss_retain_frac,prop_ack_gain_applied,prop_retention_applied
1781479550405,20260614_232546,0,0,0.0,0.0,0.0,0,0,46720,1069,45651,0.6,0.3,0.1,0.0,1.0,1.0,0,,True,0.0,0.0,0.0,0.0,0.0,0.0,3.981071705534974e-06,3.981071705534974e-06,0.0,0.0,7.962143411069949e-07,-0.0,-0.0,1.0000007962143411,1.0000007962143411,0.9999996815142635,0.9999996815142635,-3.1848573644279794e-07,0.0,0.0,False,False,False,False,0.9790002388643023,0.9790002388643023,1.0139998407571318,1.0139998407571318,1.0000007962143411,0.9958000477728606,0.6999997770599844,0.7019599777059984,0.9958000477728606,1.0027999681514264
1781479550743,20260614_232546,0,8855936,168.8177,168.8177,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4514,1.0712,0.9765,8855936,,True,0.5903957333333333,0.29519786666666664,0.0,1.0,0.4,0.5903957333333333,0.6698905972765452,0.7289301706098785,0.0,0.05903957333333333,0.14578603412197572,-0.0,-0.025000000000000005,1.1207860341219757,1.1207860341219757,0.9566855863512097,0.9566855863512097,-0.05831441364879028,0.0,0.015,False,False,False,False,1.0219358102365927,1.0219358102365927,0.9856427931756049,0.9856427931756049,1.1207860341219757,1.001027200265607,0.6696799104458467,0.6995579732093835,1.001027200265607,0.9993685331562622
1781479550743,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.5903957333333333,0.29519786666666664,0.0,0.7,0.0,0.5903957333333333,0.6876024692765452,0.7289301706098785,0.0,0.04132770133333333,0.14578603412197572,-0.0,-0.0175,1.1282860341219756,1.1282860341219756,0.9521855863512096,0.9521855863512096,-0.05831441364879028,0.0,0.010499999999999999,False,False,False,False,1.0227358102365927,1.0227358102365927,0.9848427931756049,0.9848427931756049,1.1282860341219756,1.0053689222598043,0.6665299104458468,0.6975243696120915,1.0053689222598043,0.9964633851601308
1781479550744,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.29519786666666664,0.29519786666666664,0.0,0.7,0.0,0.29519786666666664,0.46025071259371847,0.4809145632603851,0.0,0.020663850666666664,0.09618291265207703,-0.0,-0.0175,1.078682912652077,1.078682912652077,0.9720268349391692,0.9720268349391692,-0.03847316506083081,0.0,0.010499999999999999,False,False,False,False,1.007854873795623,1.007854873795623,0.9947634174695846,0.9947634174695846,1.078682912652077,1.0058661125669681,0.6804187844574184,0.697286374135415,1.0058661125669681,0.9961233916220216
1781479550769,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.29519786666666664,0.29519786666666664,0.0,0.7,0.0,0.29519786666666664,0.46025071259371847,0.4809145632603851,0.0,0.020663850666666664,0.09618291265207703,-0.0,-0.0175,1.078682912652077,1.078682912652077,0.9720268349391692,0.9720268349391692,-0.03847316506083081,0.0,0.010499999999999999,False,False,False,False,1.007854873795623,1.007854873795623,0.9947634174695846,0.9947634174695846,1.078682912652077,1.0062638648126991,0.6804187844574184,0.697095977754074,1.0062638648126991,0.9958513967915342
1781479550770,20260614_232546,0,8855936,168.8177,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4603,1.0787,0.972,8855936,,True,0.29519786666666664,0.29519786666666664,0.0,0.7,0.0,0.29519786666666664,0.46025071259371847,0.4809145632603851,0.0,0.020663850666666664,0.09618291265207703,-0.0,-0.0175,1.078682912652077,1.078682912652077,0.9720268349391692,0.9720268349391692,-0.03847316506083081,0.0,0.010499999999999999,False,False,False,False,1.007854873795623,1.007854873795623,0.9947634174695846,0.9947634174695846,1.078682912652077,1.006582066609284,0.6804187844574184,0.696943660649001,1.006582066609284,0.9956338009271444
1781479550910,20260614_232546,0,9459456,158.047,-10.7707,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.0,0.7,0.0,0.3153152,0.47824687629846735,0.5003189402984674,0.0,0.022072064,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,0.9704744847761225,-0.040025515223877386,0.0,0.010499999999999999,False,False,False,False,1.009019136417908,1.009019136417908,0.9939872423880614,0.9939872423880614,1.0825637880596934,1.0070694805710088,0.6793321393432857,0.6967131424535294,1.0070694805710088,0.9953044892193278
1781479550911,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.0,0.7,0.0,0.3153152,0.47824687629846735,0.5003189402984674,0.0,0.022072064,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,0.9704744847761225,-0.040025515223877386,0.0,0.010499999999999999,False,False,False,False,1.009019136417908,1.009019136417908,0.9939872423880614,0.9939872423880614,1.0825637880596934,1.0074594117403888,0.6793321393432857,0.6965287278971521,1.0074594117403888,0.9950410398530746
1781479550912,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,0,46720,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.0,0.7,0.0,0.3153152,0.47824687629846735,0.5003189402984674,0.0,0.022072064,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,0.9704744847761225,-0.040025515223877386,0.0,0.010499999999999999,False,False,False,False,1.009019136417908,1.009019136417908,0.9939872423880614,0.9939872423880614,1.0825637880596934,1.0077713566758928,0.6793321393432857,0.6963811962520503,1.0077713566758928,0.9948302803600719
1781479550913,20260614_232546,0,9459456,158.047,0.0,0.0,0,0,46720,1071,45649,0.6,0.3,0.1,0.4782,1.0826,0.9705,9459456,,True,0.3153152,0.3153152,0.0,0.7,0.0,0.3153152,0.47824687629846735,0.5003189402984674,0.0,0.022072064,0.10006378805969347,-0.0,-0.0175,1.0825637880596934,1.0825637880596934,0.9704744847761225,0.9704744847761225,-0.040025515223877386,0.0,0.010499999999999999,False,False,False,False,1.009019136417908,1.009019136417908,0.9939872423880614,0.9939872423880614,1.0825637880596934,1.0080209126242958,0.6793321393432857,0.6962631709359689,1.0080209126242958,0.9946616727656699
