request_id,timestamp_ms,before_alpha,before_beta,before_gamma,applied_alpha,applied_beta,applied_gamma,pred_current,pred_best,score_gain_bps,n_samples,status
20260614_232546_1781479556319_1,1781479556319.0,0.6,0.3,0.1,0.6,0.3,0.1,,,,,accepted
20260614_232546_1781479556319_1,1781479556319.0,0.6,0.3,0.10000000000000002,0.7,0.19999999999999998,0.1,26621676.978691794,27906523.007739954,1284846.0290481597,6000.0,accepted
20260614_232546_1781479564123_1,1781479564123.0,0.6,0.3,0.10000000000000002,0.7,0.19999999999999998,0.2,4202191.486263154,5053527.869390792,851336.3831276381,2940.0,accepted
20260614_232546_1781479624113_2,1781479624113.0,0.636,0.264,0.12000000000000002,0.7,0.3,0.2,7888019.435771465,9699098.292403119,1811078.8566316534,3000.0,accepted
20260614_232546_1781479630936_2,1781479630936.0,0.636,0.264,0.12000000000000002,0.7,0.2,0.22000000000000003,3199481.1582616605,4015252.491431397,815771.3331697364,2988.0,accepted
