request_id,update_time_s,before_alpha,before_beta,before_gamma,applied_alpha,applied_beta,applied_gamma,score_gain_bps,n_samples,gain_m5_0,gain_0_5,gain_5_10,backoff_m5_0,backoff_0_5,backoff_5_10,cwnd_m5_0,cwnd_0_5,cwnd_5_10,tp_path_a_m5_0,tp_path_a_0_5,tp_path_a_5_10,tp_path_b_m5_0,tp_path_b_0_5,tp_path_b_5_10,tp_total_m5_0,tp_total_0_5,tp_total_5_10,path_b_share_m5_0,path_b_share_0_5,path_b_share_5_10,gain_p0_m5_0,gain_p0_0_5,gain_p0_5_10,backoff_p0_m5_0,backoff_p0_0_5,backoff_p0_5_10,cwnd_p0_m5_0,cwnd_p0_0_5,cwnd_p0_5_10
20260614_232546_1781479556319_1,8.44690203666687,0.6,0.3,0.1,0.6,0.3,0.1,,,1.1832343726937269,1.1837644278606965,1.1431647696476965,0.9295271361213612,0.9297216417910447,0.9501658536585366,57924.82656826568,46720.0,236520.0,3.408432,20.7319408,20.114129600000002,0.1681568,2.0128192,1.9951519999999998,3.5765888000000006,22.744760000000003,22.1092816,30.626504249388937,8.84416269846014,9.023238729231213,1.177099602750191,1.1825,1.1825,0.9325087394957983,0.9304999999999999,0.9305,46720.0,46720.0,46720.0
20260614_232546_1781479556319_1,8.44690203666687,0.6,0.3,0.10000000000000002,0.7,0.19999999999999998,0.1,1284846.0290481597,6000.0,1.1832343726937269,1.1837644278606965,1.1431647696476965,0.9295271361213612,0.9297216417910447,0.9501658536585366,57924.82656826568,46720.0,236520.0,3.408432,20.7319408,20.114129600000002,0.1681568,2.0128192,1.9951519999999998,3.5765888000000006,22.744760000000003,22.1092816,30.626504249388937,8.84416269846014,9.023238729231213,1.177099602750191,1.1825,1.1825,0.9325087394957983,0.9304999999999999,0.9305,46720.0,46720.0,46720.0
20260614_232546_1781479564123_1,16.25090193748474,0.6,0.3,0.10000000000000002,0.7,0.19999999999999998,0.2,851336.3831276381,2940.0,1.1431647696476965,,1.1790514705882353,0.9501658536585366,,0.9325691176470587,236520.0,,46720.0,20.100897600000003,20.1528144,20.214232000000003,1.9941424,2.0484687999999998,2.2221952000000003,22.09504,22.2012832,22.4364272,9.021527235652766,9.226379383992,9.90370345504824,1.1825,,1.1790520833333336,0.9305,,0.93256875,46720.0,,46720.0
20260614_232546_1781479624113_2,76.24090194702148,0.636,0.264,0.12000000000000002,0.7,0.3,0.2,1811078.8566316534,3000.0,,1.1748,1.1213,,0.9347,0.9562000000000002,,277400.0,46720.0,21.0637936,21.2960256,21.3749936,0.442952,0.4446752,0.44381440000000005,21.5067456,21.740700800000003,21.818807999999997,2.0596927514041075,2.0454624856163472,2.0341874470246624,,1.179,1.1213,,0.9325999999999999,0.9562000000000002,,46720.0,46720.0
20260614_232546_1781479630936_2,83.0639021396637,0.636,0.264,0.12000000000000002,0.7,0.2,0.22000000000000003,815771.3331697364,2988.0,1.1748,1.1203316261308507,,0.9347,0.9567627955508938,,277400.0,46720.0,,21.3770176,21.441536,21.538881600000003,0.444552,0.4427055999999999,0.44233599999999995,21.821569599999997,21.8842416,21.981217599999997,2.0372870281596343,2.0229749830353843,2.0124435434108934,1.179,1.120327435064935,,0.9325999999999999,0.9567650793650794,,46720.0,46720.0,
