path_id,time_s,bw_bps,owd_ms,delay_gradient_ms,loss_rate,cwnd_bytes,inflight_bytes,cwnd_room,utility,gain,backoff,lost_bytes_delta,retrans_bytes_delta,endpoint_role,producer_pid,connection_id,local_endpoint,remote_endpoint,timestamp_ms,sender_bytes_first,sender_bytes_total,run_id,sweep_name,coefficient_tuple_id,deterioration_start_s,deterioration_end_s,impaired_interface,alpha,beta,gamma,physical_path_label,phase_label,sender_byte_delta,interval_sender_bytes,future_bw_1s,delta_bw_1s,relative_delta_bw_1s,loss_event_bytes,future_loss_risk_1s,loss_risk_1s
0,11,7058880.0,211.795,0.0,0.0,46720.0,0.0,46720.0,0.93,1.1825,0.9305,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037346311,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7058880.0,0.0,0.0,0,0.0,0.0
0,12,7058880.0,211.795,0.0,0.0,46720.0,0.0,46720.0,0.93,1.1825,0.9305,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037347436,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7058880.0,0.0,0.0,0,0.0,0.0
0,13,7058880.0,211.795,0.0,0.0,46720.0,0.0,46720.0,0.93,1.1825,0.9305,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037348349,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7058880.0,0.0,0.0,0,0.0,0.0
0,14,7058880.0,211.79499999999996,0.0,0.0,46720.0,0.0,46720.0,0.9300000000000002,1.1825,0.9305,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037349354,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7058880.0,0.0,0.0,0,0.0,0.0
0,15,7058880.0,211.79499999999996,0.0,0.0,46720.0,0.0,46720.0,0.9300000000000002,1.1825,0.9305,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037350333,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7058880.0,0.0,0.0,0,0.0,0.0
0,16,7058880.0,211.795,0.0,0.0,46720.0,0.0,46720.0,0.8610250965250966,1.1670359073359076,0.936680694980695,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037351302,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7051168.32,-7711.679999999702,-0.0010924792601658,0,0.0,0.0
0,17,7051168.32,212.02675,0.0039074999999999,0.0,46720.0,0.0,46720.0,0.7389765,1.139661,0.947622,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037352444,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7005210.150537634,-45958.16946236603,-0.0065178091596551,0,0.0,0.0
0,18,7005210.150537634,213.41725985663084,0.0033512544802867,0.0,46720.0,0.0,46720.0,0.7451207885304659,1.1410243727598566,0.94708853046595,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037353323,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7002112.0,-3098.1505376342684,-0.0004422637538427,0,0.0,0.0
0,19,7002112.0,213.5115,0.0,0.0,46720.0,0.0,46720.0,0.7536191588785046,1.142920093457944,0.9463467289719628,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037354306,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7002112.0,0.0,0.0,0,0.0,0.0
0,20,7002112.0,213.5115,0.0,0.0,46720.0,0.0,46720.0,0.7597054298642534,1.144271040723982,0.9458013574660632,0,0,server_downlink_sender,10642,61da64ce78630f6b,[::]:1935,10.0.1.1:43367,1782037355349,1335,1335,20260621_102209,a0p6_b0p1_g0p1,a0p6_b0p1_g0p1,90,150,h2-eth1,0.6,0.1,0.1,Path A,PRE,0.0,0.0,7002112.0,0.0,0.0,0,0.0,0.0
