run_order,candidate_id,replicate,alpha,beta,gamma,intervention_s,seed,is_sham
71,a0.8_b0.2_g0.2,3,0.8,0.2,0.2,70,20260730,0
72,a0.7_b0.1_g0.2,1,0.7,0.1,0.2,75,20260730,0
73,a0.6_b0.1_g0.2,3,0.6,0.1,0.2,65,20260730,0
74,a0.8_b0.1_g0.3,2,0.8,0.1,0.3,70,20260730,0
75,a0.6_b0.1_g0.1,4,0.6,0.1,0.1,75,20260730,0
76,a0.7_b0.2_g0.1,5,0.7,0.2,0.1,65,20260730,0
77,a0.6_b0.1_g0.3,4,0.6,0.1,0.3,70,20260730,0
78,a0.6_b0.1_g0.1,1,0.6,0.1,0.1,75,20260730,0
79,a0.7_b0.1_g0.3,5,0.7,0.1,0.3,65,20260730,0
80,a0.8_b0.2_g0.3,1,0.8,0.2,0.3,70,20260730,0
81,a0.8_b0.3_g0.2,4,0.8,0.3,0.2,75,20260730,0
82,a0.6_b0.3_g0.3,5,0.6,0.3,0.3,65,20260730,0
83,a0.8_b0.1_g0.3,3,0.8,0.1,0.3,70,20260730,0
84,a0.7_b0.2_g0.2,5,0.7,0.2,0.2,75,20260730,0
85,a0.6_b0.3_g0.1,2,0.6,0.3,0.1,65,20260730,1
86,a0.6_b0.1_g0.1,5,0.6,0.1,0.1,70,20260730,0
87,a0.6_b0.3_g0.2,2,0.6,0.3,0.2,75,20260730,0
88,a0.7_b0.3_g0.2,1,0.7,0.3,0.2,65,20260730,0
89,a0.8_b0.2_g0.1,5,0.8,0.2,0.1,70,20260730,0
90,a0.6_b0.3_g0.3,4,0.6,0.3,0.3,75,20260730,0
91,a0.7_b0.2_g0.1,1,0.7,0.2,0.1,65,20260730,0
92,a0.8_b0.1_g0.3,5,0.8,0.1,0.3,70,20260730,0
93,a0.6_b0.2_g0.3,1,0.6,0.2,0.3,75,20260730,0
94,a0.6_b0.1_g0.3,3,0.6,0.1,0.3,65,20260730,0
95,a0.8_b0.1_g0.2,5,0.8,0.1,0.2,70,20260730,0
96,a0.7_b0.2_g0.3,3,0.7,0.2,0.3,75,20260730,0
97,a0.6_b0.3_g0.3,3,0.6,0.3,0.3,65,20260730,0
98,a0.6_b0.1_g0.3,5,0.6,0.1,0.3,70,20260730,0
99,a0.6_b0.2_g0.3,4,0.6,0.2,0.3,75,20260730,0
100,a0.8_b0.2_g0.2,5,0.8,0.2,0.2,65,20260730,0
101,a0.8_b0.3_g0.3,2,0.8,0.3,0.3,70,20260730,0
102,a0.6_b0.1_g0.3,2,0.6,0.1,0.3,75,20260730,0
103,a0.8_b0.2_g0.3,2,0.8,0.2,0.3,65,20260730,0
104,a0.8_b0.2_g0.1,2,0.8,0.2,0.1,70,20260730,0
105,a0.6_b0.3_g0.2,3,0.6,0.3,0.2,75,20260730,0
106,a0.8_b0.3_g0.3,4,0.8,0.3,0.3,65,20260730,0
107,a0.6_b0.3_g0.2,4,0.6,0.3,0.2,70,20260730,0
108,a0.8_b0.2_g0.3,5,0.8,0.2,0.3,75,20260730,0
109,a0.7_b0.1_g0.1,5,0.7,0.1,0.1,65,20260730,0
110,a0.6_b0.3_g0.3,2,0.6,0.3,0.3,70,20260730,0
111,a0.7_b0.1_g0.1,4,0.7,0.1,0.1,75,20260730,0
