leg,window,tp_total_mbps,tp_path_a_mbps,tp_path_b_mbps
loss_baseline,0-50 normal,18.840186400000004,17.265387039999997,1.5747993600000003
loss_baseline,50-90 pre-stress,23.2807682,20.575020000000002,2.7057482
loss_baseline,90-100 stress,23.9540904,20.8140808,3.1400096
loss_baseline,100-150 recovery,22.204134560000004,21.34799568,0.8561388800000002
loss_baseline,150-200 stable,22.882468000000003,22.447980159999997,0.43448783999999996
loss_baseline,0-200 full,21.835555399999997,20.421048759999998,1.41450664
loss_qaccess_dynamic,0-50 normal,20.0689573877551,19.043322938775507,1.0256344489795919
loss_qaccess_dynamic,50-90 pre-stress,23.118527,22.6743606,0.4441664
loss_qaccess_dynamic,90-100 stress,23.6741016,23.234111999999996,0.4399896
loss_qaccess_dynamic,100-150 recovery,24.4628016,24.022712959999993,0.44008864000000003
loss_qaccess_dynamic,150-200 stable,26.059982400000003,25.61286256,0.44711984
loss_qaccess_dynamic,0-200 full,23.472362854271353,22.88551328643216,0.586849567839196
