leg,window,path_a_byte_share_pct,path_b_byte_share_pct
loss_baseline,0-50 normal,91.64127505659923,8.358724943400771
loss_baseline,50-90 pre-stress,88.37775378906956,11.622246210930445
loss_baseline,90-100 stress,86.89155151556078,13.108448484439217
loss_baseline,100-150 recovery,96.14423666148059,3.8557633385194183
loss_baseline,150-200 stable,98.10121950132302,1.8987804986769785
loss_baseline,0-200 full,93.52200292555875,6.477997074441258
loss_qaccess_dynamic,0-50 normal,94.88944826996656,5.110551730033438
loss_qaccess_dynamic,50-90 pre-stress,98.07874264653627,1.9212573534637394
loss_qaccess_dynamic,90-100 stress,98.14147287430751,1.858527125692491
loss_qaccess_dynamic,100-150 recovery,98.20098839374147,1.7990116062585406
loss_qaccess_dynamic,150-200 stable,98.28426653120073,1.715733468799273
loss_qaccess_dynamic,0-200 full,97.49982747164117,2.500172528358834
