session,status,message,files
delay_only,no_worker_artifacts,No worker response JSON found in session folder or derived. Coefficient update cannot be confirmed.,"['/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/derived/qaccess_t_runtime_coefficients.json', '/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_delay_only_20260608_230402/delay_baseline/qaccess_t_runtime_coefficients.json', '/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_delay_only_20260608_230402/delay_qaccess_dynamic/qaccess_runtime_samples.csv', '/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_delay_only_20260608_230402/delay_qaccess_dynamic/qaccess_t_runtime_coefficients.json']"
loss_only,no_worker_artifacts,No worker response JSON found in session folder or derived. Coefficient update cannot be confirmed.,"['/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/derived/qaccess_t_runtime_coefficients.json', '/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_loss_only_20260608_232127/loss_baseline/qaccess_t_runtime_coefficients.json', '/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_loss_only_20260608_232127/loss_qaccess_dynamic/qaccess_runtime_samples.csv', '/Users/jememalum/Project/mpquic/qcurl-4dmap-experiment/logs_exp/session_loss_only_20260608_232127/loss_qaccess_dynamic/qaccess_t_runtime_coefficients.json']"
